Date,Trend
2014-04-21,53
2014-04-22,73
2014-04-23,60
2014-04-24,58
2014-04-25,56
2014-04-26,77
2014-04-27,87
2014-04-28,100
2014-04-29,75
2014-04-30,64
2014-05-01,56
2014-05-02,77
2014-05-03,82
2014-05-04,72
2014-05-05,83
2014-05-06,74
2014-05-07,75
2014-05-08,65
2014-05-09,68
2014-05-10,82
2014-05-11,55
2014-05-12,75
2014-05-13,65
2014-05-14,58
2014-05-15,57
2014-05-16,56
2014-05-17,79
2014-05-18,84
2014-05-19,100
2014-05-20,72
2014-05-21,69
2014-05-22,64
2014-05-23,65
2014-05-24,72
2014-05-25,49
2014-05-26,66
2014-05-27,60
2014-05-28,59
2014-05-29,46
2014-05-30,66
2014-05-31,86
2014-06-01,75
2014-06-02,83
2014-06-03,66
2014-06-04,59
2014-06-05,57
2014-06-06,61
2014-06-07,70
2014-06-08,39
2014-06-09,52
2014-06-10,63
2014-06-11,57
2014-06-12,54
2014-06-13,53
2014-06-14,73
2014-06-15,75
2014-06-16,95
2014-06-17,72
2014-06-18,64
2014-06-19,56
2014-06-20,58
2014-06-21,67
2014-06-22,49
2014-06-23,63
2014-06-24,59
2014-06-25,56
2014-06-26,49
2014-06-27,50
2014-06-28,74
2014-06-29,82
2014-06-30,100
2014-07-01,71
2014-07-02,69
2014-07-03,62
2014-07-04,58
2014-07-05,70
2014-07-06,52
2014-07-07,66
2014-07-08,59
2014-07-09,55
2014-07-10,53
2014-07-11,58
2014-07-12,75
2014-07-13,74
2014-07-14,86
2014-07-15,65
2014-07-16,67
2014-07-17,63
2014-07-18,56
2014-07-19,68
2014-07-20,52
2014-07-21,70
2014-07-22,60
2014-07-23,57
2014-07-24,53
2014-07-25,56
2014-07-26,74
2014-07-27,84
2014-07-28,97
2014-07-29,75
2014-07-30,70
2014-07-31,64
2014-08-01,60
2014-08-02,72
2014-08-03,62
2014-08-04,83
2014-08-05,69
2014-08-06,67
2014-08-07,60
2014-08-08,59
2014-08-09,75
2014-08-10,71
2014-08-11,79
2014-08-12,62
2014-08-13,61
2014-08-14,59
2014-08-15,56
2014-08-16,83
2014-08-17,83
2014-08-18,100
2014-08-19,71
2014-08-20,70
2014-08-21,59
2014-08-22,58
2014-08-23,69
2014-08-24,56
2014-08-25,63
2014-08-26,56
2014-08-27,54
2014-08-28,50
2014-08-29,53
2014-08-30,81
2014-08-31,76
2014-09-01,89
2014-09-02,71
2014-09-03,65
2014-09-04,60
2014-09-05,62
2014-09-06,71
2014-09-07,52
2014-09-08,61
2014-09-09,58
2014-09-10,58
2014-09-11,50
2014-09-12,53
2014-09-13,77
2014-09-14,69
2014-09-15,89
2014-09-16,64
2014-09-17,61
2014-09-18,57
2014-09-19,51
2014-09-20,60
2014-09-21,49
2014-09-22,55
2014-09-23,56
2014-09-24,49
2014-09-25,50
2014-09-26,49
